N Error
5 2.46918506738407E-014
7 8.99671513470747E-014
10 0.0061194324
19 0.0045749195
20 0.0089586507
40 0.0005430529
42 0.0002833934
50 0.0013921732
60 0.0014071486
80 0.0021655938
93 0.0015406386
100 0.0014003018
117 0.0019039874
148 0.0014908238
150 0.0018832638
176 0.0016213682
200 0.001497508
200 0.0015558908
201 0.0017420456
250 0.0011421672
252 -0.0628714069
296 0.0011434684
300 0.0013365602
350 0.0012703991
362 0.0009886051
400 0.0013152917
441 0.0007370879
443 0.0011311329
450 0.0012440024
463 0.0010582799
500 0.000925599
525 0.0006765837
667 0.0007617631
723 0.0005424476
842 0.0007837658
943 0.000560072
1086 0.0004260729
2000 0.000352329
3000 0.0002379412
4000 0.0002861788
5000 0.0004427483
6000 0.0003632623
7000 0.0002619717
9000 0.0001859784
10000 0.0004600809
20000 8.80684387578895E-005
